Case;event;time;case Spend area text
7878;0;21.09.2018-07:35:00;7
7878;1;25.09.2018-17:29:00;7
7878;2;15.10.2018-08:58:00;7
7878;3;15.11.2018-15:35:00;7
7879;28;20.11.2018-00:00:00;10
7879;0;20.11.2018-10:25:00;10
7879;1;27.11.2018-16:41:00;10
7879;2;11.12.2018-10:44:00;10
7879;9;03.01.2019-11:24:00;10
7880;0;13.08.2018-09:46:00;7
7880;17;14.08.2018-11:21:00;7
7880;2;11.09.2018-10:11:00;7
7880;3;13.09.2018-16:42:00;7
7881;1;27.02.2018-11:03:00;10
7881;2;05.03.2018-16:44:00;10
7881;3;24.05.2018-13:32:00;10
7882;0;20.06.2018-08:19:00;7
7882;1;22.06.2018-07:20:00;7
7882;2;25.06.2018-16:31:00;7
7882;3;09.08.2018-14:30:00;7
7883;0;28.08.2018-11:12:00;7
7883;1;05.09.2018-09:56:00;7
7883;1;05.09.2018-09:58:00;7
7883;1;05.09.2018-11:01:00;7
7883;1;05.09.2018-11:06:00;7
7883;2;03.10.2018-14:13:00;7
7883;3;26.10.2018-11:02:00;7
7884;28;04.12.2018-00:00:00;10
7884;0;04.12.2018-17:15:00;10
7884;1;16.01.2019-15:13:00;10
7885;0;28.05.2018-16:27:00;10
7885;1;18.06.2018-16:31:00;10
7885;2;23.08.2018-10:29:00;10
7885;9;11.10.2018-18:04:00;10
7885;3;18.10.2018-15:31:00;10
7886;28;29.10.2018-00:00:00;10
7886;0;29.10.2018-09:56:00;10
7886;21;29.10.2018-10:33:00;10
7886;1;01.11.2018-07:07:00;10
7886;2;05.11.2018-17:51:00;10
7886;3;10.01.2019-15:43:00;10
7887;0;16.01.2018-07:20:00;9
7887;1;19.01.2018-17:32:00;9
7887;2;14.02.2018-16:53:00;9
7887;3;08.03.2018-13:21:00;9
7888;0;23.08.2018-09:08:00;9
7888;1;21.09.2018-13:19:00;9
7888;2;16.10.2018-12:25:00;9
7888;3;29.11.2018-16:14:00;9
7889;0;08.01.2018-18:02:00;10
7889;1;08.02.2018-11:46:00;10
7889;17;08.02.2018-11:46:00;10
7889;3;05.04.2018-15:48:00;10
7890;0;11.04.2018-16:32:00;10
7890;2;26.04.2018-11:33:00;10
7890;1;27.04.2018-10:02:00;10
7890;3;26.07.2018-18:08:00;10
7891;0;29.05.2018-16:54:00;1
7891;1;30.05.2018-20:44:00;1
7891;3;26.07.2018-18:07:00;1
7892;0;24.10.2018-14:32:00;6
7892;1;12.11.2018-09:44:00;6
7892;2;18.12.2018-14:48:00;6
7893;28;31.10.2018-00:00:00;10
7893;0;31.10.2018-09:25:00;10
7893;1;05.11.2018-12:00:00;10
7893;2;22.11.2018-11:13:00;10
7894;0;03.08.2018-15:04:00;16
7894;1;28.08.2018-11:49:00;16
7895;0;28.11.2018-16:26:00;10
7895;15;11.12.2018-17:07:00;10
7896;0;28.06.2018-13:41:00;12
7896;1;17.07.2018-11:12:00;12
7897;0;06.06.2018-08:37:00;9
7897;1;07.06.2018-17:59:00;9
7897;2;28.06.2018-17:57:00;9
7897;3;09.08.2018-14:28:00;9
7898;28;11.09.2018-00:00:00;7
7898;0;11.09.2018-08:51:00;7
7898;1;13.09.2018-17:22:00;7
7898;2;26.09.2018-15:41:00;7
7898;3;26.10.2018-11:02:00;7
7899;0;07.03.2018-08:46:00;7
7899;1;09.03.2018-17:30:00;7
7899;2;16.03.2018-16:54:00;7
7899;3;26.04.2018-11:13:00;7
7900;0;27.02.2018-16:35:00;10
7900;15;28.02.2018-17:23:00;10
7900;22;05.03.2018-11:35:00;10
7900;2;19.03.2018-18:03:00;10
7900;1;20.03.2018-18:05:00;10
7900;9;22.03.2018-06:29:00;10
7900;3;24.05.2018-13:34:00;10
7901;28;18.11.2018-00:00:00;10
7901;0;20.11.2018-10:55:00;10
7901;1;28.11.2018-11:56:00;10
7901;2;05.12.2018-14:31:00;10
7902;0;25.06.2018-08:53:00;7
7902;2;27.06.2018-16:33:00;7
7902;1;28.06.2018-07:50:00;7
7902;3;26.07.2018-18:06:00;7
7903;0;02.05.2018-08:03:00;0
7903;2;08.05.2018-12:36:00;0
7903;1;09.05.2018-17:48:00;0
7903;3;24.05.2018-13:36:00;0
7904;28;06.11.2018-00:00:00;7
7904;0;06.11.2018-08:59:00;7
7904;2;12.12.2018-11:19:00;7
7905;28;07.12.2018-00:00:00;10
7905;0;07.12.2018-17:02:00;10
7905;17;14.12.2018-13:34:00;10
7906;0;16.01.2018-08:31:00;7
7906;1;19.01.2018-12:55:00;7
7906;2;07.03.2018-13:21:00;7
7906;3;29.03.2018-15:08:00;7
7907;21;24.05.2018-11:59:00;10
7907;1;30.05.2018-11:01:00;10
7907;2;31.05.2018-16:05:00;10
7907;2;31.05.2018-16:46:00;10
7907;3;30.08.2018-15:38:00;10
7908;0;04.06.2018-13:28:00;10
7908;17;06.06.2018-11:22:00;10
7908;1;13.06.2018-13:11:00;10
7908;2;11.07.2018-16:48:00;10
7908;3;28.09.2018-10:28:00;10
7909;28;10.09.2018-00:00:00;10
7909;0;13.09.2018-13:23:00;10
7909;1;03.10.2018-13:17:00;10
7909;2;17.10.2018-11:25:00;10
7909;3;10.01.2019-15:42:00;10
7910;0;17.04.2018-15:02:00;10
7910;1;25.04.2018-15:18:00;10
7910;2;02.05.2018-11:31:00;10
7910;3;26.07.2018-18:08:00;10
7911;0;06.03.2018-07:58:00;9
7911;1;09.03.2018-17:31:00;9
7911;2;17.04.2018-11:59:00;9
7911;3;09.05.2018-14:10:00;9
7912;0;08.01.2018-13:32:00;10
7912;1;23.01.2018-12:07:00;10
7912;3;09.05.2018-14:09:00;10
7913;0;25.07.2018-11:26:00;9
7913;2;31.07.2018-10:56:00;9
7913;3;30.08.2018-15:39:00;9
7914;28;08.10.2018-00:00:00;10
7914;0;08.10.2018-13:07:00;10
7914;2;06.12.2018-13:52:00;10
7914;3;10.01.2019-15:43:00;10
7915;0;12.02.2018-07:34:00;0
7915;2;20.02.2018-11:13:00;0
7915;1;20.02.2018-17:32:00;0
7915;3;15.03.2018-14:13:00;0
7916;0;26.01.2018-09:24:00;7
7916;2;14.03.2018-13:20:00;7
7916;9;28.04.2018-09:00:00;7
7916;3;04.05.2018-10:14:00;7
7916;7;20.12.2018-14:44:00;7
7917;0;07.03.2018-09:42:00;9
7917;7;21.03.2018-13:51:00;9
7917;3;09.05.2018-14:10:00;9
7918;28;09.12.2018-00:00:00;7
7918;0;10.12.2018-08:42:00;7
7918;1;13.12.2018-07:38:00;7
7919;28;10.10.2018-00:00:00;16
7919;0;10.10.2018-12:00:00;16
7919;1;31.10.2018-14:52:00;16
7920;28;13.09.2018-00:00:00;7
7920;0;13.09.2018-08:35:00;7
7920;1;19.09.2018-10:08:00;7
7920;2;12.10.2018-13:33:00;7
7920;3;08.11.2018-16:45:00;7
7921;0;28.09.2018-12:03:00;1
7921;1;01.10.2018-12:23:00;1
7921;3;29.11.2018-16:15:00;1
7922;0;11.06.2018-14:04:00;13
7922;1;18.06.2018-10:13:00;13
7922;2;26.06.2018-12:02:00;13
7922;3;06.09.2018-14:05:00;13
7923;0;07.11.2018-11:56:00;0
7923;1;07.11.2018-11:57:00;0
7924;1;05.06.2018-14:04:00;10
7924;2;08.06.2018-16:29:00;10
7924;9;17.07.2018-16:15:00;10
7924;3;26.07.2018-18:07:00;10
7925;0;09.04.2018-09:01:00;7
7925;7;09.10.2018-12:13:00;7
7926;0;15.05.2018-11:49:00;10
7926;1;23.05.2018-09:54:00;10
7926;2;29.05.2018-17:10:00;10
7926;3;30.08.2018-15:39:00;10
7927;0;08.05.2018-11:58:00;9
7927;1;14.05.2018-11:45:00;9
7927;2;14.06.2018-13:21:00;9
7927;3;05.07.2018-14:11:00;9
7928;0;22.08.2018-15:49:00;11
7928;1;27.08.2018-10:21:00;11
7928;2;12.09.2018-11:05:00;11
7928;3;18.10.2018-15:32:00;11
7929;0;01.03.2018-16:44:00;10
7929;1;21.03.2018-17:04:00;10
7929;2;20.06.2018-09:00:00;10
7929;9;25.06.2018-17:22:00;10
7929;3;28.06.2018-14:04:00;10
7930;0;26.01.2018-10:33:00;10
7930;17;29.01.2018-18:37:00;10
7930;1;06.03.2018-14:58:00;10
7930;2;10.03.2018-10:32:00;10
7930;3;09.05.2018-14:08:00;10
7931;0;12.01.2018-14:38:00;10
7931;1;05.02.2018-13:42:00;10
7931;2;16.02.2018-08:14:00;10
7931;3;26.04.2018-11:14:00;10
7932;0;09.05.2018-16:53:00;11
7932;1;05.06.2018-14:19:00;11
7932;2;13.06.2018-11:40:00;11
7932;9;17.12.2018-09:49:00;11
7932;3;03.01.2019-16:10:00;11
7933;0;21.06.2018-12:54:00;10
7933;2;10.07.2018-16:28:00;10
7933;1;11.07.2018-08:07:00;10
7933;9;11.07.2018-16:08:00;10
7933;3;08.11.2018-16:43:00;10
7934;0;01.02.2018-15:38:00;10
7934;2;14.03.2018-14:41:00;10
7934;3;24.05.2018-13:35:00;10
7935;28;14.09.2018-00:00:00;9
7935;0;14.09.2018-09:16:00;9
7935;1;19.09.2018-17:32:00;9
7935;2;17.10.2018-13:33:00;9
7935;3;08.11.2018-16:44:00;9
7936;28;20.11.2018-00:00:00;7
7936;0;20.11.2018-08:34:00;7
7936;1;23.11.2018-07:23:00;7
7936;9;23.11.2018-12:16:00;7
7937;0;14.03.2018-10:02:00;7
7937;1;20.03.2018-09:19:00;7
7937;2;23.03.2018-14:53:00;7
7937;3;09.05.2018-14:09:00;7
7938;0;25.10.2018-11:05:00;10
7938;1;02.11.2018-14:13:00;10
7938;2;16.11.2018-13:37:00;10
7939;0;23.01.2018-10:24:00;10
7939;1;20.02.2018-16:59:00;10
7939;2;24.02.2018-08:36:00;10
7939;3;07.06.2018-13:10:00;10
7940;0;22.06.2018-10:48:00;10
7940;17;22.06.2018-17:11:00;10
7940;1;04.07.2018-14:38:00;10
7940;14;10.07.2018-12:04:00;10
7940;2;10.07.2018-15:33:00;10
7940;3;06.09.2018-14:08:00;10
7941;0;19.09.2018-12:47:00;10
7941;1;03.10.2018-10:49:00;10
7941;2;25.10.2018-11:53:00;10
7941;3;07.12.2018-09:06:00;10
7942;0;22.02.2018-12:33:00;10
7942;1;06.03.2018-14:03:00;10
7942;2;16.03.2018-16:04:00;10
7942;3;29.03.2018-15:07:00;10
7943;0;27.06.2018-11:15:00;10
7943;1;03.07.2018-18:21:00;10
7943;1;05.07.2018-13:44:00;10
7943;3;26.10.2018-11:01:00;10
7944;0;07.06.2018-09:12:00;9
7944;1;11.06.2018-17:27:00;9
7944;2;12.06.2018-10:38:00;9
7944;3;28.06.2018-14:05:00;9
7945;0;21.03.2018-10:18:00;9
7945;1;27.03.2018-07:21:00;9
7945;2;04.04.2018-12:03:00;9
7945;3;09.05.2018-14:10:00;9
7946;0;17.01.2018-11:16:00;9
7946;15;22.01.2018-12:19:00;9
7947;21;27.07.2018-12:14:00;10
7947;1;01.08.2018-08:12:00;10
7947;2;06.08.2018-15:50:00;10
7947;3;29.11.2018-16:15:00;10
7948;28;03.12.2018-00:00:00;7
7948;0;03.12.2018-09:08:00;7
7949;28;07.11.2018-00:00:00;7
7949;0;07.11.2018-07:44:00;7
7949;1;09.11.2018-06:48:00;7
7949;2;14.11.2018-13:48:00;7
7949;3;07.12.2018-09:06:00;7
7950;2;25.06.2018-11:11:00;5
7950;3;05.07.2018-14:13:00;5
7951;0;12.12.2018-16:26:00;7
7951;25;17.12.2018-09:49:00;7
7951;24;17.12.2018-09:56:00;7
7952;0;10.09.2018-08:40:00;7
7953;0;18.05.2018-17:02:00;12
7953;1;28.05.2018-12:59:00;12
7953;2;05.07.2018-11:52:00;12
7953;3;26.07.2018-18:06:00;12
7954;0;27.06.2018-12:02:00;10
7954;6;27.06.2018-12:11:00;10
7954;14;10.07.2018-15:53:00;10
7954;7;21.08.2018-12:57:00;10
7954;2;04.09.2018-13:48:00;10
7954;3;04.09.2018-13:51:00;10
7955;0;21.03.2018-16:22:00;10
7955;1;30.03.2018-09:52:00;10
7955;6;30.03.2018-14:57:00;10
7955;1;12.04.2018-07:27:00;10
7955;2;08.05.2018-15:57:00;10
7955;3;26.07.2018-18:08:00;10
7956;0;12.07.2018-17:46:00;9
7956;2;09.08.2018-11:43:00;9
7956;9;21.08.2018-15:54:00;9
7956;3;06.09.2018-14:08:00;9
7957;0;26.02.2018-10:08:00;10
7957;2;13.03.2018-17:09:00;10
7957;1;14.03.2018-19:38:00;10
7957;3;05.07.2018-14:10:00;10
7958;0;18.01.2018-08:27:00;7
7958;17;18.01.2018-14:13:00;7
7958;1;22.01.2018-07:48:00;7
7958;2;29.01.2018-11:30:00;7
7958;3;08.03.2018-13:22:00;7
7959;0;09.04.2018-13:00:00;10
7959;1;02.05.2018-14:17:00;10
7959;2;07.05.2018-12:22:00;10
7959;9;07.08.2018-12:00:00;10
7959;3;09.08.2018-14:28:00;10
7960;0;23.08.2018-09:37:00;7
7960;2;27.09.2018-08:05:00;7
7960;9;01.10.2018-14:02:00;7
7960;3;04.10.2018-16:50:00;7
7961;0;27.03.2018-16:38:00;9
7961;14;11.05.2018-15:15:00;9
7961;8;23.05.2018-09:25:00;9
7961;2;15.06.2018-10:24:00;9
7961;7;16.08.2018-11:38:00;9
7961;2;16.08.2018-11:41:00;9
7961;3;16.08.2018-13:23:00;9
7961;9;02.10.2018-11:43:00;9
7961;3;04.10.2018-16:49:00;9
7962;0;23.04.2018-09:48:00;9
7962;2;17.10.2018-15:59:00;9
7962;3;07.12.2018-09:06:00;9
7963;0;27.03.2018-17:54:00;10
7963;2;04.06.2018-17:05:00;10
7963;3;28.06.2018-14:05:00;10
7964;28;13.11.2018-00:00:00;10
7964;0;13.11.2018-14:46:00;10
7964;1;15.01.2019-11:35:00;10
7964;1;17.01.2019-10:41:00;10
7965;0;22.02.2018-12:33:00;10
7965;1;06.03.2018-14:03:00;10
7965;2;16.03.2018-16:04:00;10
7965;3;29.03.2018-15:07:00;10
7966;0;29.01.2018-10:17:00;10
7966;2;09.02.2018-13:55:00;10
7966;1;12.02.2018-18:32:00;10
7966;3;07.06.2018-13:10:00;10
7967;0;23.05.2018-15:11:00;10
7967;2;29.06.2018-14:58:00;10
7967;3;30.08.2018-15:40:00;10
7968;0;22.06.2018-11:23:00;16
7968;21;22.06.2018-11:33:00;16
7968;1;10.07.2018-11:40:00;16
7968;2;13.08.2018-15:20:00;16
7968;9;10.10.2018-18:11:00;16
7968;3;11.10.2018-13:47:00;16
7969;2;18.04.2018-16:28:00;5
7969;3;07.06.2018-13:13:00;5
7970;0;01.08.2018-10:20:00;10
7970;21;01.08.2018-10:45:00;10
7970;1;02.08.2018-11:15:00;10
7970;2;08.08.2018-12:11:00;10
7970;9;27.09.2018-11:32:00;10
7970;3;01.11.2018-16:27:00;10
7971;0;09.05.2018-10:40:00;10
7971;17;15.05.2018-19:05:00;10
7971;1;31.05.2018-08:23:00;10
7971;2;11.06.2018-05:26:00;10
7971;3;30.08.2018-15:39:00;10
7972;0;12.02.2018-12:15:00;15
7972;24;12.02.2018-15:22:00;15
7972;29;27.02.2018-17:01:00;15
7972;14;26.03.2018-17:34:00;15
7972;14;28.06.2018-07:27:00;15
7972;14;02.07.2018-08:07:00;15
7972;14;04.07.2018-15:35:00;15
7972;14;09.07.2018-11:19:00;15
7972;14;09.07.2018-15:59:00;15
7972;14;20.07.2018-14:53:00;15
7972;2;20.07.2018-17:16:00;15
7972;1;21.08.2018-10:32:00;15
7972;9;21.08.2018-17:28:00;15
7972;3;04.10.2018-16:49:00;15
7973;0;24.05.2018-16:40:00;10
7973;1;21.06.2018-12:18:00;10
7973;2;17.10.2018-14:12:00;10
7973;3;18.10.2018-15:32:00;10
7974;0;17.04.2018-08:53:00;7
7974;1;20.04.2018-07:54:00;7
7974;2;25.04.2018-13:16:00;7
7974;3;24.05.2018-13:34:00;7
7975;0;08.08.2018-09:24:00;10
7975;1;31.08.2018-14:18:00;10
7975;2;11.09.2018-12:05:00;10
7975;3;08.11.2018-16:44:00;10
7976;21;26.01.2018-10:13:00;10
7976;1;30.01.2018-12:25:00;10
7976;3;22.02.2018-16:17:00;10
7977;0;15.01.2018-10:37:00;7
7977;1;18.01.2018-10:22:00;7
7977;2;07.03.2018-14:22:00;7
7977;3;29.03.2018-15:08:00;7
7978;0;18.05.2018-09:06:00;7
7978;1;24.05.2018-17:36:00;7
7978;2;05.06.2018-11:29:00;7
7978;9;13.08.2018-12:30:00;7
7978;3;16.08.2018-15:03:00;7
7979;0;27.11.2018-09:47:00;9
7980;1;05.06.2018-10:08:00;10
7980;2;02.07.2018-16:15:00;10
7980;3;28.09.2018-10:26:00;10
7981;0;18.12.2018-17:43:00;9
7981;24;18.12.2018-18:06:00;9
7981;14;27.12.2018-13:57:00;9
7982;0;21.02.2018-21:11:00;10
7982;1;05.03.2018-16:06:00;10
7982;2;20.06.2018-09:00:00;10
7982;9;25.06.2018-17:22:00;10
7982;3;28.06.2018-14:04:00;10
7983;0;06.06.2018-13:01:00;10
7983;17;19.06.2018-09:23:00;10
7983;1;26.06.2018-12:40:00;10
7983;2;30.06.2018-09:08:00;10
7983;3;30.08.2018-15:36:00;10
7984;0;16.12.2018-12:10:00;9
7984;14;16.12.2018-12:17:00;9
7984;24;17.12.2018-07:56:00;9
7984;15;17.12.2018-07:56:00;9
7985;0;27.08.2018-08:10:00;0
7985;1;30.08.2018-10:21:00;0
7985;2;30.08.2018-14:20:00;0
7985;3;20.09.2018-16:14:00;0
7986;0;24.01.2018-07:45:00;16
7986;1;07.02.2018-14:47:00;16
7986;3;26.04.2018-11:13:00;16
7987;0;21.06.2018-09:05:00;7
7987;2;27.07.2018-08:37:00;7
7987;3;30.08.2018-15:40:00;7
7988;0;27.11.2018-13:19:00;10
7988;1;06.12.2018-10:33:00;10
7988;2;07.12.2018-13:42:00;10
7988;9;12.12.2018-10:43:00;10
7989;0;04.06.2018-14:32:00;11
7989;1;15.06.2018-07:43:00;11
7989;2;19.06.2018-12:13:00;11
7989;3;30.08.2018-15:39:00;11
7990;0;19.02.2018-07:33:00;7
7990;1;21.02.2018-17:35:00;7
7990;2;14.03.2018-17:39:00;7
7990;3;05.04.2018-15:51:00;7
7991;28;02.10.2018-00:00:00;7
7991;0;02.10.2018-08:52:00;7
7991;1;05.10.2018-09:24:00;7
7991;8;05.10.2018-11:11:00;7
7991;7;18.10.2018-10:12:00;7
7991;3;29.11.2018-16:14:00;7
7991;3;29.11.2018-16:14:00;7
7992;0;09.05.2018-07:55:00;7
7992;1;15.05.2018-08:43:00;7
7992;2;15.05.2018-17:28:00;7
7992;9;16.05.2018-17:19:00;7
7992;3;31.05.2018-12:32:00;7
7993;28;27.11.2018-00:00:00;6
7993;0;27.11.2018-15:10:00;6
7993;24;29.11.2018-16:10:00;6
7993;2;16.01.2019-14:28:00;6
7993;1;17.01.2019-14:00:00;6
7994;0;09.02.2018-09:58:00;7
7994;1;14.02.2018-07:38:00;7
7994;2;13.03.2018-13:29:00;7
7994;3;29.03.2018-15:07:00;7
7995;0;25.04.2018-08:50:00;7
7995;2;25.05.2018-11:06:00;7
7995;3;31.05.2018-12:33:00;7
7996;0;10.04.2018-08:50:00;9
7996;1;26.04.2018-17:47:00;9
7996;2;01.05.2018-15:22:00;9
7996;3;07.06.2018-13:12:00;9
7997;0;08.08.2018-18:01:00;10
7997;2;04.09.2018-13:02:00;10
7997;9;17.09.2018-18:00:00;10
7997;3;26.10.2018-11:04:00;10
7998;0;09.01.2018-07:24:00;11
7998;1;17.01.2018-10:07:00;11
7998;2;17.01.2018-17:23:00;11
7998;3;08.03.2018-13:22:00;11
7999;0;05.09.2018-17:26:00;10
7999;1;24.09.2018-14:00:00;10
7999;2;26.09.2018-16:24:00;10
7999;3;08.11.2018-16:44:00;10
8000;0;23.05.2018-08:41:00;7
8000;1;29.05.2018-13:09:00;7
8000;2;13.07.2018-09:30:00;7
8000;3;19.07.2018-13:16:00;7
8001;0;31.07.2018-17:27:00;10
8001;15;17.08.2018-08:47:00;10
8002;0;06.04.2018-10:20:00;7
8002;8;10.04.2018-09:36:00;7
8003;0;30.08.2018-13:54:00;11
8003;1;09.10.2018-13:24:00;11
8003;2;22.10.2018-12:07:00;11
8003;3;01.11.2018-16:27:00;11
8004;0;04.12.2018-11:51:00;9
8004;2;11.01.2019-09:31:00;9
8005;28;12.10.2018-00:00:00;7
8005;0;12.10.2018-08:47:00;7
8005;1;16.10.2018-17:30:00;7
8005;1;16.10.2018-17:30:00;7
8005;1;16.10.2018-17:30:00;7
8005;1;16.10.2018-17:31:00;7
8005;2;30.10.2018-09:13:00;7
8005;19;28.11.2018-05:18:00;7
8005;9;28.11.2018-13:01:00;7
8006;0;25.07.2018-10:33:00;10
8006;1;01.08.2018-16:43:00;10
8006;2;23.08.2018-16:09:00;10
8006;9;13.12.2018-08:03:00;10
8006;3;13.12.2018-14:08:00;10
8007;0;02.02.2018-08:11:00;7
8007;1;05.02.2018-17:34:00;7
8007;2;23.03.2018-14:10:00;7
8007;3;05.04.2018-15:50:00;7
8008;0;18.06.2018-07:59:00;7
8008;14;18.06.2018-12:20:00;7
8008;1;19.06.2018-17:45:00;7
8008;2;16.08.2018-15:26:00;7
8008;3;14.09.2018-13:16:00;7
8009;0;12.10.2018-14:13:00;7
8009;2;31.10.2018-13:21:00;7
8009;3;07.12.2018-09:08:00;7
8010;0;22.01.2018-09:35:00;11
8010;1;22.02.2018-14:35:00;11
8010;2;22.02.2018-15:58:00;11
8010;9;26.02.2018-16:29:00;11
8010;3;26.04.2018-11:15:00;11
8011;0;21.08.2018-10:19:00;10
8011;1;28.08.2018-10:20:00;10
8011;2;30.08.2018-15:34:00;10
8011;3;29.11.2018-16:15:00;10
8012;0;22.11.2018-15:18:00;7
8013;0;19.04.2018-09:22:00;7
8013;2;27.04.2018-16:13:00;7
8013;3;09.05.2018-14:11:00;7
8014;28;30.10.2018-00:00:00;7
8014;0;30.10.2018-08:11:00;7
8014;1;05.11.2018-17:32:00;7
8014;2;28.11.2018-10:44:00;7
8014;3;10.01.2019-15:42:00;7
8015;0;10.09.2018-10:05:00;10
8015;1;03.10.2018-17:50:00;10
8015;2;16.10.2018-11:48:00;10
8015;3;10.01.2019-15:43:00;10
8016;28;02.09.2018-00:00:00;10
8016;0;04.09.2018-10:49:00;10
8016;17;24.09.2018-15:19:00;10
8016;1;05.10.2018-09:18:00;10
8016;2;08.10.2018-15:59:00;10
8016;3;10.01.2019-15:41:00;10
8017;1;05.11.2018-11:54:00;10
8017;2;14.11.2018-12:39:00;10
8017;9;19.11.2018-07:16:00;10
8018;0;01.02.2018-10:59:00;11
8018;1;22.02.2018-10:39:00;11
8018;2;08.03.2018-12:01:00;11
8018;3;19.04.2018-14:46:00;11
8019;0;30.01.2018-11:42:00;10
8019;1;14.02.2018-11:29:00;10
8019;2;24.02.2018-07:24:00;10
8019;3;24.05.2018-13:32:00;10
8020;0;02.01.2018-11:33:00;11
8020;21;03.01.2018-09:17:00;11
8020;1;12.01.2018-07:37:00;11
8020;2;15.01.2018-14:53:00;11
8020;3;29.03.2018-15:08:00;11
8021;0;29.08.2018-08:13:00;7
8021;1;30.08.2018-17:32:00;7
8021;2;27.09.2018-14:19:00;7
8021;3;26.10.2018-11:01:00;7
8022;0;29.06.2018-12:35:00;10
8022;1;19.07.2018-10:16:00;10
8022;2;07.09.2018-15:35:00;10
8022;3;04.10.2018-16:49:00;10
8023;28;02.10.2018-00:00:00;7
8023;0;02.10.2018-09:12:00;7
8023;1;08.10.2018-07:31:00;7
8023;2;07.12.2018-12:35:00;7
8023;3;13.12.2018-14:08:00;7
8024;0;19.02.2018-09:29:00;7
8024;2;08.03.2018-13:21:00;7
8024;3;29.03.2018-15:10:00;7
8025;0;04.07.2018-08:00:00;7
8025;1;05.07.2018-17:29:00;7
8025;2;20.07.2018-15:27:00;7
8025;3;30.08.2018-15:40:00;7
8026;0;19.02.2018-13:39:00;10
8026;17;20.02.2018-17:03:00;10
8026;2;09.03.2018-16:34:00;10
8026;3;26.04.2018-11:16:00;10
8027;0;12.07.2018-10:58:00;12
8027;14;12.07.2018-14:34:00;12
8027;1;31.07.2018-10:52:00;12
8027;1;31.07.2018-11:14:00;12
8027;2;20.08.2018-13:08:00;12
8027;3;28.09.2018-10:26:00;12
8028;28;11.10.2018-00:00:00;0
8028;0;11.10.2018-07:41:00;0
8028;1;15.10.2018-10:08:00;0
8028;2;16.10.2018-13:21:00;0
8028;3;08.11.2018-16:44:00;0
8029;0;11.05.2018-09:31:00;9
8029;2;11.07.2018-12:41:00;9
8029;3;26.07.2018-18:09:00;9
8030;0;03.07.2018-11:02:00;10
8030;2;10.07.2018-12:13:00;10
8030;1;12.07.2018-13:50:00;10
8030;3;26.10.2018-11:02:00;10
8031;0;02.07.2018-16:51:00;10
8031;1;18.07.2018-14:57:00;10
8031;2;31.07.2018-17:24:00;10
8031;3;26.10.2018-11:01:00;10
8032;0;25.06.2018-09:03:00;7
8032;2;06.08.2018-12:11:00;7
8032;3;06.09.2018-14:08:00;7
8033;0;16.11.2018-09:08:00;6
8033;21;16.11.2018-09:52:00;6
8033;1;28.11.2018-11:37:00;6
8033;2;21.12.2018-15:25:00;6
8034;0;22.11.2018-09:04:00;9
8034;1;10.12.2018-10:45:00;9
8034;1;10.12.2018-10:49:00;9
8034;1;10.12.2018-11:07:00;9
8034;1;10.12.2018-11:13:00;9
8034;1;10.12.2018-11:18:00;9
8034;1;10.12.2018-11:21:00;9
8034;1;10.12.2018-11:23:00;9
8034;1;10.12.2018-11:24:00;9
8034;1;10.12.2018-11:26:00;9
8034;1;10.12.2018-12:08:00;9
8034;1;10.12.2018-12:10:00;9
8034;1;10.12.2018-12:11:00;9
8034;1;10.12.2018-12:14:00;9
8034;2;14.12.2018-13:56:00;9
8034;3;10.01.2019-15:43:00;9
8035;0;09.03.2018-07:28:00;7
8035;2;12.03.2018-13:21:00;7
8035;1;12.03.2018-17:41:00;7
8035;3;29.03.2018-15:06:00;7
8036;0;17.09.2018-08:42:00;1
8036;2;17.10.2018-13:20:00;1
8036;3;18.10.2018-15:32:00;1
8037;0;15.01.2018-13:54:00;2
8037;1;17.01.2018-10:39:00;2
8037;2;12.02.2018-15:38:00;2
8037;3;08.03.2018-13:21:00;2
8038;0;05.02.2018-09:43:00;7
8038;1;21.02.2018-10:34:00;7
8038;2;09.03.2018-17:29:00;7
8038;3;29.03.2018-15:08:00;7
8039;0;23.08.2018-11:26:00;16
8039;1;28.08.2018-12:56:00;16
8040;0;19.01.2018-17:29:00;10
8040;2;17.02.2018-07:35:00;10
8040;3;26.04.2018-11:14:00;10
8041;0;14.12.2018-20:02:00;10
8042;0;27.04.2018-10:36:00;10
8042;2;10.05.2018-17:24:00;10
8042;1;11.05.2018-13:52:00;10
8042;9;11.05.2018-17:12:00;10
8042;3;05.07.2018-14:12:00;10
8043;21;10.08.2018-11:22:00;10
8043;1;15.08.2018-09:50:00;10
8043;2;16.08.2018-14:34:00;10
8043;3;29.11.2018-16:15:00;10
8044;0;06.09.2018-16:07:00;10
8044;29;06.09.2018-16:19:00;10
8045;0;30.07.2018-08:25:00;14
8045;17;13.08.2018-08:01:00;14
8045;2;11.09.2018-17:02:00;14
8045;9;01.10.2018-14:02:00;14
8045;3;26.10.2018-11:04:00;14
8045;7;08.11.2018-09:25:00;14
8045;3;08.11.2018-16:45:00;14
8046;0;04.01.2018-16:36:00;10
8046;1;12.02.2018-14:50:00;10
8046;2;19.03.2018-14:09:00;10
8046;9;20.03.2018-16:28:00;10
8046;3;24.05.2018-13:32:00;10
8047;0;12.12.2018-16:26:00;7
8047;25;17.12.2018-09:49:00;7
8047;24;17.12.2018-09:56:00;7
8048;0;12.12.2018-16:26:00;7
